protein	Intercept_value	Intercept_se	Intercept_t	Intercept_p	beta_value	beta_se	beta_t	beta_p	rsquared	samples	rsquared_rank
Q86VZ4	0.534273570325652	0.0772961679719429	6.91203179075557	5.78072343246372e-08	0.499520947099858	0.127758222609167	3.909892740352	0.000418924145702842	0.310166579682514	PLA	1004
Q86WD7	0.308359172084759	0.0484216094228251	6.36821402180416	2.87564071772361e-07	0.854954201896868	0.0603048524775149	14.1772041017038	7.80063955045075e-16	0.855314910673612	PLA	81
Q86WV1	0.0947521692215143	0.0575980460839462	1.64505874180902	0.109173197698972	0.89168101011975	0.062573486773295	14.2501410118047	6.71387387360784e-16	0.856580338024845	PLA	79
Q86Z14	-0.671926218119269	0.15971259488731	-4.20709599385926	0.000178165534010417	0.785410097469006	0.119432703506796	6.57617281035857	1.55301985490882e-07	0.559848037352981	PLA	660
Q8IU54	0.137172243099665	0.0690545195158389	1.98643396639957	0.0550932817558338	0.164351496793305	0.0761212562707511	2.15907493970848	0.0379901587771292	0.120574524624015	PLA	1195
Q8IU57	0.388475647461228	0.053470541975618	7.26522741509462	2.06640906255992e-08	0.756380063910046	0.113596035777587	6.65850756791358	1.21788599723455e-07	0.565970687650034	PLA	654
Q8IUK5	-0.0734296328273736	0.0809041930894109	-0.907612201832645	0.370471448641692	0.590124873992699	0.100627984143085	5.86442110530198	1.29168584117209e-06	0.50286172457766	PLA	764
Q8IUN9	0.171207683784656	0.0904824500322777	1.89216454377154	0.0670101421066001	0.4263531226173	0.124905653293834	3.41340132631409	0.00167429031712543	0.255223978635005	PLA	1060
Q8IVG5	0.891697656221774	0.192758735781364	4.62597792316493	5.21897979493136e-05	0.743674690372807	0.0767045558389235	9.69531316933108	2.56099298045153e-11	0.734373127022179	PLA	381
Q8IW75	3.23205753747925	0.323148999865148	10.0017562759842	1.16132142650825e-11	0.799741828284986	0.0830138259695565	9.63383892917155	3.00573349957568e-11	0.731884146142341	PLA	385
Q8IWL1	0.153499898304547	0.0614332843373328	2.49864385341459	0.0174625725336901	0.32460532797796	0.0789659636284053	4.11069925652366	0.000235508655125952	0.331995338039203	PLA	978
Q8IWL2	0.198678149246905	0.0798073733326618	2.48947109709717	0.0178465778213426	0.174139294273356	0.10543048926036	1.65169767773078	0.107803827061077	0.0742784089291406	PLA	1220
Q8IWV2	-0.11148317210408	0.0845635515277264	-1.31833597442424	0.196203845658688	0.610214148728738	0.116208297951505	5.25103765811445	8.11122074544718e-06	0.447813472378225	PLA	833
Q8IX05	-0.349239230345199	0.104747308620411	-3.33411172988502	0.00207614399936864	0.648679032555448	0.115858433722353	5.59889350921111	2.86083041932122e-06	0.479705519970191	PLA	790
Q8IXJ6	0.549132873308755	0.298567023471225	1.83922814691449	0.0746280969836245	0.982266192377643	0.0730274040809396	13.4506519126567	3.58589035712503e-15	0.841801627738865	PLA	117
Q8IYS5	0.0925232732893708	0.0669382099353533	1.38221911489307	0.175918095031203	0.787601208296249	0.123207615219755	6.39247181995587	2.67585159511564e-07	0.545841284484395	PLA	684
Q8IZP9	0.112111996117243	0.059992771131618	1.86875841876483	0.0702919524498725	0.597104829483875	0.127732512357628	4.67465031778352	4.51915569233321e-05	0.391252174797722	PLA	901
